report,1_similar,5_similars,10_similars
577.0,890.0,"[890.0, 626.0, 157.0, 235.0, 237.0]","[890.0, 626.0, 157.0, 235.0, 237.0, 164.0, 179.0, 584.0, 111.0, 75.0]"
583.0,842.0,"[842.0, 274.0, 805.0, 844.0, 934.0]","[842.0, 274.0, 805.0, 844.0, 934.0, 97.0, 814.0, 723.0, 815.0, 611.0]"
589.0,62.0,"[62.0, 114.0, 500.0, 945.0, 192.0]","[62.0, 114.0, 500.0, 945.0, 192.0, 870.0, 400.0, 315.0, 897.0, 473.0]"
591.0,102.0,"[102.0, 904.0, 555.0, 336.0, 315.0]","[102.0, 904.0, 555.0, 336.0, 315.0, 722.0, 458.0, 711.0, 421.0, 149.0]"
595.0,568.0,"[568.0, 508.0, 779.0, 878.0, 561.0]","[568.0, 508.0, 779.0, 878.0, 561.0, 356.0, 524.0, 133.0, 346.0, 275.0]"
598.0,733.0,"[733.0, 117.0, 778.0, 81.0, 188.0]","[733.0, 117.0, 778.0, 81.0, 188.0, 12.0, 120.0, 28.0, 335.0, 435.0]"
600.0,584.0,"[584.0, 339.0, 469.0, 717.0, 16.0]","[584.0, 339.0, 469.0, 717.0, 16.0, 157.0, 571.0, 237.0, 164.0, 590.0]"
602.0,513.0,"[513.0, 686.0, 181.0, 207.0, 296.0]","[513.0, 686.0, 181.0, 207.0, 296.0, 333.0, 123.0, 809.0, 444.0, 414.0]"
613.0,348.0,"[348.0, 897.0, 708.0, 341.0, 692.0]","[348.0, 897.0, 708.0, 341.0, 692.0, 410.0, 500.0, 933.0, 564.0, 229.0]"
615.0,763.0,"[763.0, 18.0, 72.0, 768.0, 305.0]","[763.0, 18.0, 72.0, 768.0, 305.0, 9.0, 475.0, 76.0, 623.0, 64.0]"
616.0,620.0,"[620.0, 870.0, 945.0, 464.0, 816.0]","[620.0, 870.0, 945.0, 464.0, 816.0, 930.0, 669.0, 282.0, 932.0, 724.0]"
618.0,341.0,"[341.0, 945.0, 195.0, 422.0, 564.0]","[341.0, 945.0, 195.0, 422.0, 564.0, 493.0, 909.0, 515.0, 441.0, 870.0]"
619.0,768.0,"[768.0, 948.0, 945.0, 290.0, 282.0]","[768.0, 948.0, 945.0, 290.0, 282.0, 114.0, 870.0, 696.0, 714.0, 475.0]"
624.0,326.0,"[326.0, 416.0, 869.0, 99.0, 291.0]","[326.0, 416.0, 869.0, 99.0, 291.0, 208.0, 174.0, 78.0, 134.0, 513.0]"
627.0,81.0,"[81.0, 117.0, 733.0, 460.0, 12.0]","[81.0, 117.0, 733.0, 460.0, 12.0, 188.0, 778.0, 28.0, 775.0, 13.0]"
629.0,831.0,"[831.0, 565.0, 698.0, 922.0, 946.0]","[831.0, 565.0, 698.0, 922.0, 946.0, 601.0, 382.0, 956.0, 603.0, 833.0]"
634.0,348.0,"[348.0, 708.0, 499.0, 194.0, 897.0]","[348.0, 708.0, 499.0, 194.0, 897.0, 599.0, 492.0, 290.0, 168.0, 3.0]"
635.0,762.0,"[762.0, 878.0, 630.0, 709.0, 852.0]","[762.0, 878.0, 630.0, 709.0, 852.0, 299.0, 639.0, 593.0, 689.0, 274.0]"
637.0,815.0,"[815.0, 810.0, 527.0, 186.0, 639.0]","[815.0, 810.0, 527.0, 186.0, 639.0, 427.0, 709.0, 274.0, 593.0, 630.0]"
640.0,205.0,"[205.0, 19.0, 389.0, 69.0, 928.0]","[205.0, 19.0, 389.0, 69.0, 928.0, 25.0, 456.0, 789.0, 16.0, 406.0]"
646.0,492.0,"[492.0, 168.0, 194.0, 933.0, 397.0]","[492.0, 168.0, 194.0, 933.0, 397.0, 348.0, 599.0, 897.0, 184.0, 708.0]"
650.0,279.0,"[279.0, 293.0, 647.0, 604.0, 645.0]","[279.0, 293.0, 647.0, 604.0, 645.0, 264.0, 362.0, 940.0, 643.0, 416.0]"
659.0,843.0,"[843.0, 60.0, 108.0, 22.0, 565.0]","[843.0, 60.0, 108.0, 22.0, 565.0, 121.0, 833.0, 368.0, 625.0, 929.0]"
660.0,255.0,"[255.0, 104.0, 612.0, 428.0, 828.0]","[255.0, 104.0, 612.0, 428.0, 828.0, 103.0, 140.0, 174.0, 785.0, 657.0]"
661.0,654.0,"[654.0, 745.0, 837.0, 783.0, 382.0]","[654.0, 745.0, 837.0, 783.0, 382.0, 960.0, 601.0, 872.0, 956.0, 625.0]"
662.0,77.0,"[77.0, 112.0, 402.0, 337.0, 155.0]","[77.0, 112.0, 402.0, 337.0, 155.0, 413.0, 203.0, 61.0, 256.0, 732.0]"
665.0,945.0,"[945.0, 114.0, 422.0, 870.0, 500.0]","[945.0, 114.0, 422.0, 870.0, 500.0, 341.0, 909.0, 511.0, 400.0, 168.0]"
666.0,644.0,"[644.0, 736.0, 470.0, 327.0, 18.0]","[644.0, 736.0, 470.0, 327.0, 18.0, 696.0, 475.0, 395.0, 367.0, 64.0]"
673.0,341.0,"[341.0, 728.0, 239.0, 564.0, 736.0]","[341.0, 728.0, 239.0, 564.0, 736.0, 692.0, 758.0, 793.0, 945.0, 786.0]"
674.0,682.0,"[682.0, 805.0, 681.0, 396.0, 710.0]","[682.0, 805.0, 681.0, 396.0, 710.0, 11.0, 812.0, 862.0, 941.0, 804.0]"
675.0,356.0,"[356.0, 508.0, 223.0, 779.0, 346.0]","[356.0, 508.0, 223.0, 779.0, 346.0, 193.0, 275.0, 568.0, 887.0, 561.0]"
677.0,458.0,"[458.0, 102.0, 315.0, 336.0, 555.0]","[458.0, 102.0, 315.0, 336.0, 555.0, 722.0, 904.0, 421.0, 189.0, 349.0]"
680.0,555.0,"[555.0, 336.0, 102.0, 904.0, 189.0]","[555.0, 336.0, 102.0, 904.0, 189.0, 315.0, 421.0, 722.0, 458.0, 349.0]"
684.0,529.0,"[529.0, 687.0, 234.0, 310.0, 363.0]","[529.0, 687.0, 234.0, 310.0, 363.0, 572.0, 621.0, 683.0, 2.0, 6.0]"
691.0,343.0,"[343.0, 155.0, 732.0, 716.0, 32.0]","[343.0, 155.0, 732.0, 716.0, 32.0, 61.0, 257.0, 54.0, 35.0, 256.0]"
693.0,657.0,"[657.0, 785.0, 596.0, 612.0, 898.0]","[657.0, 785.0, 596.0, 612.0, 898.0, 723.0, 162.0, 255.0, 828.0, 921.0]"
694.0,22.0,"[22.0, 368.0, 108.0, 60.0, 62.0]","[22.0, 368.0, 108.0, 60.0, 62.0, 122.0, 121.0, 940.0, 930.0, 620.0]"
697.0,732.0,"[732.0, 155.0, 32.0, 256.0, 112.0]","[732.0, 155.0, 32.0, 256.0, 112.0, 716.0, 203.0, 61.0, 402.0, 343.0]"
699.0,115.0,"[115.0, 505.0, 68.0, 63.0, 471.0]","[115.0, 505.0, 68.0, 63.0, 471.0, 110.0, 474.0, 899.0, 594.0, 735.0]"
701.0,182.0,"[182.0, 789.0, 389.0, 29.0, 205.0]","[182.0, 789.0, 389.0, 29.0, 205.0, 69.0, 535.0, 584.0, 25.0, 456.0]"
702.0,29.0,"[29.0, 928.0, 19.0, 25.0, 456.0]","[29.0, 928.0, 19.0, 25.0, 456.0, 182.0, 205.0, 90.0, 285.0, 284.0]"
703.0,695.0,"[695.0, 221.0, 897.0, 400.0, 52.0]","[695.0, 221.0, 897.0, 400.0, 52.0, 395.0, 500.0, 651.0, 3.0, 644.0]"
706.0,590.0,"[590.0, 339.0, 177.0, 584.0, 469.0]","[590.0, 339.0, 177.0, 584.0, 469.0, 157.0, 717.0, 16.0, 75.0, 237.0]"
707.0,237.0,"[237.0, 164.0, 339.0, 157.0, 430.0]","[237.0, 164.0, 339.0, 157.0, 430.0, 829.0, 717.0, 469.0, 12.0, 496.0]"
712.0,108.0,"[108.0, 60.0, 22.0, 940.0, 368.0]","[108.0, 60.0, 22.0, 940.0, 368.0, 62.0, 122.0, 121.0, 96.0, 779.0]"
713.0,22.0,"[22.0, 108.0, 60.0, 368.0, 122.0]","[22.0, 108.0, 60.0, 368.0, 122.0, 121.0, 62.0, 940.0, 633.0, 870.0]"
715.0,664.0,"[664.0, 499.0, 933.0, 348.0, 194.0]","[664.0, 499.0, 933.0, 348.0, 194.0, 887.0, 585.0, 628.0, 229.0, 737.0]"
718.0,889.0,"[889.0, 475.0, 64.0, 736.0, 644.0]","[889.0, 475.0, 64.0, 736.0, 644.0, 445.0, 327.0, 352.0, 484.0, 633.0]"
719.0,168.0,"[168.0, 348.0, 37.0, 628.0, 194.0]","[168.0, 348.0, 37.0, 628.0, 194.0, 492.0, 714.0, 933.0, 511.0, 250.0]"
720.0,22.0,"[22.0, 108.0, 60.0, 122.0, 368.0]","[22.0, 108.0, 60.0, 122.0, 368.0, 940.0, 62.0, 121.0, 843.0, 522.0]"
721.0,630.0,"[630.0, 593.0, 527.0, 186.0, 709.0]","[630.0, 593.0, 527.0, 186.0, 709.0, 274.0, 639.0, 810.0, 860.0, 299.0]"
725.0,779.0,"[779.0, 223.0, 508.0, 568.0, 356.0]","[779.0, 223.0, 508.0, 568.0, 356.0, 561.0, 652.0, 852.0, 275.0, 169.0]"
726.0,165.0,"[165.0, 168.0, 254.0, 492.0, 290.0]","[165.0, 168.0, 254.0, 492.0, 290.0, 184.0, 708.0, 897.0, 599.0, 252.0]"
727.0,587.0,"[587.0, 235.0, 150.0, 172.0, 433.0]","[587.0, 235.0, 150.0, 172.0, 433.0, 314.0, 288.0, 111.0, 317.0, 177.0]"
731.0,343.0,"[343.0, 155.0, 732.0, 716.0, 32.0]","[343.0, 155.0, 732.0, 716.0, 32.0, 203.0, 61.0, 154.0, 143.0, 257.0]"
734.0,88.0,"[88.0, 63.0, 474.0, 471.0, 387.0]","[88.0, 63.0, 474.0, 471.0, 387.0, 921.0, 934.0, 307.0, 53.0, 788.0]"
740.0,923.0,"[923.0, 956.0, 739.0, 929.0, 743.0]","[923.0, 956.0, 739.0, 929.0, 743.0, 745.0, 582.0, 654.0, 382.0, 551.0]"
741.0,29.0,"[29.0, 284.0, 182.0, 358.0, 365.0]","[29.0, 284.0, 182.0, 358.0, 365.0, 25.0, 401.0, 535.0, 789.0, 581.0]"
742.0,953.0,"[953.0, 685.0, 804.0, 632.0, 690.0]","[953.0, 685.0, 804.0, 632.0, 690.0, 396.0, 927.0, 606.0, 636.0, 814.0]"
744.0,459.0,"[459.0, 368.0, 48.0, 781.0, 758.0]","[459.0, 368.0, 48.0, 781.0, 758.0, 588.0, 74.0, 239.0, 908.0, 730.0]"
747.0,539.0,"[539.0, 252.0, 409.0, 585.0, 737.0]","[539.0, 252.0, 409.0, 585.0, 737.0, 628.0, 492.0, 180.0, 236.0, 366.0]"
749.0,12.0,"[12.0, 778.0, 84.0, 342.0, 775.0]","[12.0, 778.0, 84.0, 342.0, 775.0, 188.0, 13.0, 435.0, 733.0, 518.0]"
751.0,343.0,"[343.0, 155.0, 732.0, 32.0, 154.0]","[343.0, 155.0, 732.0, 32.0, 154.0, 716.0, 61.0, 203.0, 54.0, 257.0]"
752.0,341.0,"[341.0, 348.0, 511.0, 564.0, 736.0]","[341.0, 348.0, 511.0, 564.0, 736.0, 422.0, 239.0, 499.0, 410.0, 49.0]"
753.0,945.0,"[945.0, 114.0, 669.0, 870.0, 473.0]","[945.0, 114.0, 669.0, 870.0, 473.0, 920.0, 724.0, 324.0, 192.0, 451.0]"
754.0,590.0,"[590.0, 469.0, 339.0, 164.0, 16.0]","[590.0, 469.0, 339.0, 164.0, 16.0, 584.0, 237.0, 157.0, 789.0, 717.0]"
759.0,205.0,"[205.0, 456.0, 182.0, 389.0, 29.0]","[205.0, 456.0, 182.0, 389.0, 29.0, 19.0, 928.0, 69.0, 25.0, 406.0]"
760.0,555.0,"[555.0, 102.0, 904.0, 315.0, 458.0]","[555.0, 102.0, 904.0, 315.0, 458.0, 336.0, 722.0, 421.0, 349.0, 711.0]"
764.0,823.0,"[823.0, 903.0, 432.0, 191.0, 786.0]","[823.0, 903.0, 432.0, 191.0, 786.0, 273.0, 156.0, 385.0, 289.0, 261.0]"
765.0,76.0,"[76.0, 9.0, 768.0, 475.0, 18.0]","[76.0, 9.0, 768.0, 475.0, 18.0, 327.0, 724.0, 696.0, 65.0, 72.0]"
767.0,457.0,"[457.0, 605.0, 169.0, 756.0, 477.0]","[457.0, 605.0, 169.0, 756.0, 477.0, 210.0, 407.0, 786.0, 385.0, 623.0]"
770.0,371.0,"[371.0, 757.0, 931.0, 738.0, 623.0]","[371.0, 757.0, 931.0, 738.0, 623.0, 9.0, 457.0, 64.0, 517.0, 671.0]"
771.0,112.0,"[112.0, 402.0, 732.0, 61.0, 256.0]","[112.0, 402.0, 732.0, 61.0, 256.0, 155.0, 388.0, 716.0, 32.0, 257.0]"
774.0,601.0,"[601.0, 956.0, 923.0, 739.0, 654.0]","[601.0, 956.0, 923.0, 739.0, 654.0, 382.0, 946.0, 872.0, 603.0, 960.0]"
776.0,285.0,"[285.0, 287.0, 581.0, 25.0, 90.0]","[285.0, 287.0, 581.0, 25.0, 90.0, 928.0, 401.0, 535.0, 626.0, 29.0]"
777.0,401.0,"[401.0, 285.0, 287.0, 581.0, 535.0]","[401.0, 285.0, 287.0, 581.0, 535.0, 90.0, 25.0, 29.0, 190.0, 196.0]"
782.0,255.0,"[255.0, 79.0, 125.0, 162.0, 174.0]","[255.0, 79.0, 125.0, 162.0, 174.0, 428.0, 808.0, 104.0, 99.0, 101.0]"
792.0,460.0,"[460.0, 117.0, 188.0, 778.0, 28.0]","[460.0, 117.0, 188.0, 778.0, 28.0, 335.0, 733.0, 81.0, 518.0, 13.0]"
795.0,593.0,"[593.0, 527.0, 862.0, 274.0, 553.0]","[593.0, 527.0, 862.0, 274.0, 553.0, 959.0, 844.0, 810.0, 639.0, 805.0]"
797.0,515.0,"[515.0, 195.0, 415.0, 493.0, 441.0]","[515.0, 195.0, 415.0, 493.0, 441.0, 564.0, 945.0, 932.0, 794.0, 422.0]"
798.0,449.0,"[449.0, 101.0, 828.0, 513.0, 291.0]","[449.0, 101.0, 828.0, 513.0, 291.0, 809.0, 134.0, 428.0, 181.0, 207.0]"
800.0,768.0,"[768.0, 76.0, 9.0, 724.0, 876.0]","[768.0, 76.0, 9.0, 724.0, 876.0, 72.0, 649.0, 945.0, 475.0, 870.0]"
803.0,923.0,"[923.0, 956.0, 833.0, 739.0, 929.0]","[923.0, 956.0, 833.0, 739.0, 929.0, 960.0, 392.0, 551.0, 743.0, 601.0]"
806.0,653.0,"[653.0, 105.0, 452.0, 53.0, 791.0]","[653.0, 105.0, 452.0, 53.0, 791.0, 209.0, 110.0, 597.0, 115.0, 49.0]"
807.0,107.0,"[107.0, 689.0, 934.0, 810.0, 709.0]","[107.0, 689.0, 934.0, 810.0, 709.0, 710.0, 723.0, 524.0, 609.0, 307.0]"
811.0,692.0,"[692.0, 329.0, 410.0, 395.0, 502.0]","[692.0, 329.0, 410.0, 395.0, 502.0, 239.0, 918.0, 348.0, 369.0, 564.0]"
813.0,794.0,"[794.0, 515.0, 415.0, 441.0, 493.0]","[794.0, 515.0, 415.0, 441.0, 493.0, 473.0, 393.0, 195.0, 62.0, 192.0]"
818.0,149.0,"[149.0, 316.0, 349.0, 555.0, 102.0]","[149.0, 316.0, 349.0, 555.0, 102.0, 904.0, 543.0, 722.0, 315.0, 485.0]"
819.0,584.0,"[584.0, 626.0, 571.0, 535.0, 90.0]","[584.0, 626.0, 571.0, 535.0, 90.0, 29.0, 789.0, 928.0, 75.0, 157.0]"
820.0,317.0,"[317.0, 157.0, 253.0, 433.0, 339.0]","[317.0, 157.0, 253.0, 433.0, 339.0, 177.0, 237.0, 430.0, 789.0, 584.0]"
821.0,268.0,"[268.0, 273.0, 210.0, 579.0, 98.0]","[268.0, 273.0, 210.0, 579.0, 98.0, 512.0, 125.0, 786.0, 780.0, 105.0]"
822.0,878.0,"[878.0, 852.0, 105.0, 653.0, 611.0]","[878.0, 852.0, 105.0, 653.0, 611.0, 169.0, 162.0, 210.0, 609.0, 133.0]"
824.0,563.0,"[563.0, 729.0, 195.0, 892.0, 511.0]","[563.0, 729.0, 195.0, 892.0, 511.0, 493.0, 341.0, 961.0, 930.0, 364.0]"
830.0,114.0,"[114.0, 945.0, 909.0, 422.0, 870.0]","[114.0, 945.0, 909.0, 422.0, 870.0, 341.0, 564.0, 816.0, 620.0, 282.0]"
832.0,242.0,"[242.0, 838.0, 88.0, 570.0, 214.0]","[242.0, 838.0, 88.0, 570.0, 214.0, 29.0, 48.0, 284.0, 908.0, 90.0]"
834.0,815.0,"[815.0, 810.0, 527.0, 133.0, 709.0]","[815.0, 810.0, 527.0, 133.0, 709.0, 630.0, 274.0, 593.0, 639.0, 723.0]"
835.0,409.0,"[409.0, 585.0, 524.0, 628.0, 539.0]","[409.0, 585.0, 524.0, 628.0, 539.0, 194.0, 933.0, 492.0, 681.0, 790.0]"
836.0,456.0,"[456.0, 19.0, 205.0, 284.0, 389.0]","[456.0, 19.0, 205.0, 284.0, 389.0, 406.0, 182.0, 928.0, 69.0, 25.0]"
839.0,257.0,"[257.0, 716.0, 329.0, 644.0, 256.0]","[257.0, 716.0, 329.0, 644.0, 256.0, 22.0, 61.0, 413.0, 522.0, 87.0]"
840.0,524.0,"[524.0, 539.0, 790.0, 585.0, 681.0]","[524.0, 539.0, 790.0, 585.0, 681.0, 663.0, 817.0, 409.0, 705.0, 612.0]"
847.0,433.0,"[433.0, 157.0, 237.0, 586.0, 717.0]","[433.0, 157.0, 237.0, 586.0, 717.0, 317.0, 253.0, 339.0, 164.0, 469.0]"
848.0,545.0,"[545.0, 239.0, 758.0, 443.0, 329.0]","[545.0, 239.0, 758.0, 443.0, 329.0, 692.0, 26.0, 289.0, 649.0, 229.0]"
849.0,654.0,"[654.0, 603.0, 872.0, 601.0, 382.0]","[654.0, 603.0, 872.0, 601.0, 382.0, 960.0, 956.0, 698.0, 946.0, 929.0]"
851.0,722.0,"[722.0, 225.0, 421.0, 904.0, 316.0]","[722.0, 225.0, 421.0, 904.0, 316.0, 149.0, 711.0, 555.0, 189.0, 349.0]"
853.0,307.0,"[307.0, 838.0, 959.0, 823.0, 689.0]","[307.0, 838.0, 959.0, 823.0, 689.0, 100.0, 299.0, 581.0, 842.0, 90.0]"
854.0,897.0,"[897.0, 500.0, 290.0, 451.0, 168.0]","[897.0, 500.0, 290.0, 451.0, 168.0, 27.0, 254.0, 400.0, 708.0, 920.0]"
855.0,606.0,"[606.0, 953.0, 685.0, 710.0, 812.0]","[606.0, 953.0, 685.0, 710.0, 812.0, 814.0, 704.0, 927.0, 636.0, 941.0]"
858.0,852.0,"[852.0, 210.0, 579.0, 169.0, 209.0]","[852.0, 210.0, 579.0, 169.0, 209.0, 223.0, 273.0, 512.0, 486.0, 407.0]"
859.0,850.0,"[850.0, 868.0, 894.0, 825.0, 2.0]","[850.0, 868.0, 894.0, 825.0, 2.0, 6.0, 10.0, 33.0, 234.0, 310.0]"
864.0,870.0,"[870.0, 620.0, 282.0, 930.0, 816.0]","[870.0, 620.0, 282.0, 930.0, 816.0, 464.0, 945.0, 724.0, 932.0, 62.0]"
865.0,406.0,"[406.0, 19.0, 205.0, 456.0, 284.0]","[406.0, 19.0, 205.0, 456.0, 284.0, 25.0, 928.0, 789.0, 231.0, 182.0]"
867.0,870.0,"[870.0, 945.0, 114.0, 909.0, 464.0]","[870.0, 945.0, 114.0, 909.0, 464.0, 37.0, 816.0, 290.0, 669.0, 768.0]"
871.0,641.0,"[641.0, 599.0, 497.0, 529.0, 955.0]","[641.0, 599.0, 497.0, 529.0, 955.0, 530.0, 186.0, 687.0, 959.0, 630.0]"
873.0,441.0,"[441.0, 908.0, 272.0, 781.0, 422.0]","[441.0, 908.0, 272.0, 781.0, 422.0, 321.0, 348.0, 308.0, 165.0, 511.0]"
874.0,293.0,"[293.0, 362.0, 279.0, 264.0, 643.0]","[293.0, 362.0, 279.0, 264.0, 643.0, 604.0, 301.0, 645.0, 647.0, 537.0]"
875.0,922.0,"[922.0, 926.0, 905.0, 831.0, 956.0]","[922.0, 926.0, 905.0, 831.0, 956.0, 929.0, 833.0, 603.0, 601.0, 923.0]"
877.0,314.0,"[314.0, 246.0, 433.0, 237.0, 430.0]","[314.0, 246.0, 433.0, 237.0, 430.0, 235.0, 111.0, 829.0, 84.0, 586.0]"
880.0,464.0,"[464.0, 870.0, 892.0, 620.0, 961.0]","[464.0, 870.0, 892.0, 620.0, 961.0, 945.0, 932.0, 930.0, 724.0, 816.0]"
881.0,897.0,"[897.0, 708.0, 500.0, 400.0, 290.0]","[897.0, 708.0, 500.0, 400.0, 290.0, 168.0, 3.0, 397.0, 105.0, 341.0]"
883.0,933.0,"[933.0, 705.0, 250.0, 622.0, 511.0]","[933.0, 705.0, 250.0, 622.0, 511.0, 499.0, 779.0, 346.0, 884.0, 147.0]"
885.0,717.0,"[717.0, 339.0, 237.0, 469.0, 157.0]","[717.0, 339.0, 237.0, 469.0, 157.0, 317.0, 590.0, 253.0, 164.0, 433.0]"
886.0,828.0,"[828.0, 612.0, 380.0, 785.0, 921.0]","[828.0, 612.0, 380.0, 785.0, 921.0, 255.0, 827.0, 103.0, 140.0, 898.0]"
893.0,274.0,"[274.0, 838.0, 186.0, 427.0, 593.0]","[274.0, 838.0, 186.0, 427.0, 593.0, 527.0, 709.0, 630.0, 842.0, 299.0]"
895.0,956.0,"[956.0, 772.0, 879.0, 668.0, 960.0]","[956.0, 772.0, 879.0, 668.0, 960.0, 743.0, 833.0, 951.0, 946.0, 745.0]"
896.0,151.0,"[151.0, 499.0, 348.0, 933.0, 37.0]","[151.0, 499.0, 348.0, 933.0, 37.0, 124.0, 492.0, 779.0, 887.0, 200.0]"
900.0,758.0,"[758.0, 239.0, 736.0, 459.0, 755.0]","[758.0, 239.0, 736.0, 459.0, 755.0, 329.0, 692.0, 649.0, 728.0, 131.0]"
907.0,336.0,"[336.0, 904.0, 555.0, 102.0, 189.0]","[336.0, 904.0, 555.0, 102.0, 189.0, 722.0, 315.0, 421.0, 149.0, 271.0]"
912.0,221.0,"[221.0, 644.0, 52.0, 461.0, 256.0]","[221.0, 644.0, 52.0, 461.0, 256.0, 845.0, 716.0, 32.0, 257.0, 947.0]"
913.0,794.0,"[794.0, 533.0, 884.0, 493.0, 91.0]","[794.0, 533.0, 884.0, 493.0, 91.0, 515.0, 355.0, 24.0, 511.0, 441.0]"
915.0,733.0,"[733.0, 81.0, 120.0, 117.0, 12.0]","[733.0, 81.0, 120.0, 117.0, 12.0, 317.0, 188.0, 435.0, 13.0, 518.0]"
917.0,460.0,"[460.0, 335.0, 117.0, 188.0, 733.0]","[460.0, 335.0, 117.0, 188.0, 733.0, 28.0, 778.0, 518.0, 13.0, 435.0]"
919.0,179.0,"[179.0, 235.0, 535.0, 902.0, 626.0]","[179.0, 235.0, 535.0, 902.0, 626.0, 111.0, 890.0, 17.0, 430.0, 401.0]"
924.0,708.0,"[708.0, 3.0, 897.0, 492.0, 290.0]","[708.0, 3.0, 897.0, 492.0, 290.0, 500.0, 348.0, 397.0, 168.0, 194.0]"
936.0,255.0,"[255.0, 414.0, 785.0, 898.0, 93.0]","[255.0, 414.0, 785.0, 898.0, 93.0, 446.0, 938.0, 808.0, 723.0, 596.0]"
939.0,929.0,"[929.0, 956.0, 923.0, 946.0, 601.0]","[929.0, 956.0, 923.0, 946.0, 601.0, 739.0, 951.0, 833.0, 603.0, 960.0]"
942.0,948.0,"[948.0, 644.0, 367.0, 475.0, 395.0]","[948.0, 644.0, 367.0, 475.0, 395.0, 327.0, 696.0, 940.0, 695.0, 658.0]"
943.0,768.0,"[768.0, 327.0, 18.0, 9.0, 76.0]","[768.0, 327.0, 18.0, 9.0, 76.0, 714.0, 124.0, 475.0, 638.0, 464.0]"
944.0,384.0,"[384.0, 507.0, 394.0, 857.0, 461.0]","[384.0, 507.0, 394.0, 857.0, 461.0, 522.0, 833.0, 565.0, 739.0, 382.0]"
949.0,341.0,"[341.0, 564.0, 909.0, 945.0, 422.0]","[341.0, 564.0, 909.0, 945.0, 422.0, 348.0, 728.0, 114.0, 870.0, 692.0]"
950.0,831.0,"[831.0, 922.0, 833.0, 926.0, 698.0]","[831.0, 922.0, 833.0, 926.0, 698.0, 956.0, 951.0, 905.0, 772.0, 929.0]"
952.0,785.0,"[785.0, 827.0, 921.0, 104.0, 611.0]","[785.0, 827.0, 921.0, 104.0, 611.0, 609.0, 326.0, 380.0, 92.0, 103.0]"
954.0,959.0,"[959.0, 596.0, 723.0, 891.0, 955.0]","[959.0, 596.0, 723.0, 891.0, 955.0, 685.0, 553.0, 529.0, 688.0, 687.0]"
957.0,850.0,"[850.0, 868.0, 894.0, 234.0, 310.0]","[850.0, 868.0, 894.0, 234.0, 310.0, 363.0, 572.0, 621.0, 683.0, 2.0]"
958.0,611.0,"[611.0, 844.0, 609.0, 862.0, 11.0]","[611.0, 844.0, 609.0, 862.0, 11.0, 805.0, 723.0, 814.0, 953.0, 593.0]"
962.0,147.0,"[147.0, 780.0, 622.0, 452.0, 162.0]","[147.0, 780.0, 622.0, 452.0, 162.0, 773.0, 250.0, 508.0, 101.0, 53.0]"
